sku;name;produzent;land;url;bild;hintergrundbild;isOwnWine
1201999;Casal dei Ronchi Recioto della Valpolicella Classico DOC;Serègo Alighieri;Italien;https://www.flaschenpost.ch/casal-dei-ronchi-recioto-della-valpolicella-classico-doc_serego-alighieri?_size=500&_vintage=2019;https://d2uqzpf6d2kb73.cloudfront.net/eyJidWNrZXQiOiJzcGluZS1wcm9kdWN0LWltYWdlcy1wcm9kIiwia2V5IjoiYTA0ZmVjNmItOTNlMi00ZjViLTk0YzQtNzkwMTg4OTYzODgzLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJoZWlnaHQiOjgwMH0sInRyaW0iOjAuMX19;;false
1195926;Grappa di Vaio;Serègo Alighieri;Italien;https://www.flaschenpost.ch/grappa-di-vaio_serego-alighieri?_size=500&_vintage=0;https://d2uqzpf6d2kb73.cloudfront.net/eyJidWNrZXQiOiJzcGluZS1wcm9kdWN0LWltYWdlcy1wcm9kIiwia2V5IjoiMmEzMDRiOTMtY2JiNi00ZWZkLTlhOGItZGU3ZDhhOGNlMTVhLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJoZWlnaHQiOjgwMH0sInRyaW0iOjAuMX19;;false
1205421;Possessioni Bianco Bianco del Veronese IGT;Serègo Alighieri;Italien;https://www.flaschenpost.ch/possessioni-bianco-bianco-del-veronese-igt_serego-alighieri?_size=750&_vintage=2024;https://d2uqzpf6d2kb73.cloudfront.net/eyJidWNrZXQiOiJzcGluZS1wcm9kdWN0LWltYWdlcy1wcm9kIiwia2V5IjoiOGY5MzgxNzAtNzQ0MC00M2E0LWIzZDQtZGFmMWM4NjliYThhLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJoZWlnaHQiOjgwMH0sInRyaW0iOjAuMX19;;false
1197568;Vaio Armaron Amarone della Valpolicella Classico DOC;Serègo Alighieri;Italien;https://www.flaschenpost.ch/vaio-armaron-amarone-della-valpolicella-classico-doc_serego-alighieri?_size=750&_vintage=2017;https://d2uqzpf6d2kb73.cloudfront.net/eyJidWNrZXQiOiJzcGluZS1wcm9kdWN0LWltYWdlcy1wcm9kIiwia2V5IjoiODI3NDlkMTQtNzRhMS00MWQzLTgwZGYtZTJmZGEwM2MzMmZiLmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJoZWlnaHQiOjgwMH0sInRyaW0iOjAuMX19;;false
1198669;Seresin Sauvignon Blanc;Seresin Estate;Neuseeland;https://www.flaschenpost.ch/seresin-sauvignon-blanc_seresin-estate?_size=750&_vintage=2023;https://d2uqzpf6d2kb73.cloudfront.net/eyJidWNrZXQiOiJzcGluZS1wcm9kdWN0LWltYWdlcy1wcm9kIiwia2V5IjoiZThiNGU4NjEtM2UzMi00MDI4LTlhYTgtNDVhNGFhNTBmYTE3LmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJoZWlnaHQiOjgwMH0sInRyaW0iOjAuMX19;;false
1141009;Brut Tradition AOC;Serge Mathieu;Frankreich;https://www.flaschenpost.ch/brut-tradition-aoc_serge-mathieu?_size=750&_vintage=0;https://d2uqzpf6d2kb73.cloudfront.net/eyJidWNrZXQiOiJzcGluZS1wcm9kdWN0LWltYWdlcy1wcm9kIiwia2V5IjoiZjBlODA2YmItNThlMC00MmExLTk1MWMtMTdjZTI2MzIzMjdkLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJoZWlnaHQiOjgwMH0sInRyaW0iOjAuMX19;;false
1208153;Atunis Maremma Toscana DOC;Serpaia di Endrizzi;Italien;https://www.flaschenpost.ch/atunis-maremma-toscana-doc_serpaia-di-endrizzi?_size=750&_vintage=2020;https://d2uqzpf6d2kb73.cloudfront.net/eyJidWNrZXQiOiJzcGluZS1wcm9kdWN0LWltYWdlcy1wcm9kIiwia2V5IjoiNjA2YTUxZDAtOGM0Mi00ZGUwLTg1NjEtNDU1ZDc3NDRkODAxLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJoZWlnaHQiOjgwMH0sInRyaW0iOjAuMX19;;false
1203755;Chardonnay Trentino DOC;Serpaia di Endrizzi;Italien;https://www.flaschenpost.ch/chardonnay-trentino-doc_serpaia-di-endrizzi?_size=750&_vintage=2024;https://d2uqzpf6d2kb73.cloudfront.net/eyJidWNrZXQiOiJzcGluZS1wcm9kdWN0LWltYWdlcy1wcm9kIiwia2V5IjoiNDQ4MTY4YTAtYmE0Yy00M2VhLWJhNGItY2Q5OGVmYWRlZGZhLmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJoZWlnaHQiOjgwMH0sInRyaW0iOjAuMX19;;false
1184241;Chardonnay Trentino DOC;Serpaia di Endrizzi;Italien;https://www.flaschenpost.ch/chardonnay-trentino-doc_serpaia-di-endrizzi?_size=750&_vintage=2023;https://d2uqzpf6d2kb73.cloudfront.net/eyJidWNrZXQiOiJzcGluZS1wcm9kdWN0LWltYWdlcy1wcm9kIiwia2V5IjoiNDQ4MTY4YTAtYmE0Yy00M2VhLWJhNGItY2Q5OGVmYWRlZGZhLmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJoZWlnaHQiOjgwMH0sInRyaW0iOjAuMX19;;false
1207927;Cuvée Dalis Rosé DOC;Serpaia di Endrizzi;Italien;https://www.flaschenpost.ch/cuvee-dalis-rose-doc_serpaia-di-endrizzi?_size=750&_vintage=2024;https://d2uqzpf6d2kb73.cloudfront.net/eyJidWNrZXQiOiJzcGluZS1wcm9kdWN0LWltYWdlcy1wcm9kIiwia2V5IjoiZDVhNTgwNGUtNDEzNC00NzI2LTk1YjMtMGVhZjIyODEzN2JhLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJoZWlnaHQiOjgwMH0sInRyaW0iOjAuMX19;;false
1186946;Cuvée Dalis Rosé DOC;Serpaia di Endrizzi;Italien;https://www.flaschenpost.ch/cuvee-dalis-rose-doc_serpaia-di-endrizzi?_size=750&_vintage=2023;https://d2uqzpf6d2kb73.cloudfront.net/eyJidWNrZXQiOiJzcGluZS1wcm9kdWN0LWltYWdlcy1wcm9kIiwia2V5IjoiZDVhNTgwNGUtNDEzNC00NzI2LTk1YjMtMGVhZjIyODEzN2JhLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJoZWlnaHQiOjgwMH0sInRyaW0iOjAuMX19;;false
1140740;Cuvée Dalis Rosé DOC;Serpaia di Endrizzi;Italien;https://www.flaschenpost.ch/cuvee-dalis-rose-doc_serpaia-di-endrizzi?_size=750&_vintage=2021;https://d2uqzpf6d2kb73.cloudfront.net/eyJidWNrZXQiOiJzcGluZS1wcm9kdWN0LWltYWdlcy1wcm9kIiwia2V5IjoiZDVhNTgwNGUtNDEzNC00NzI2LTk1YjMtMGVhZjIyODEzN2JhLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJoZWlnaHQiOjgwMH0sInRyaW0iOjAuMX19;;false
1208249;Dalis Rosso;Serpaia di Endrizzi;Italien;https://www.flaschenpost.ch/dalis-rosso_serpaia-di-endrizzi?_size=750&_vintage=2024;https://d2uqzpf6d2kb73.cloudfront.net/eyJidWNrZXQiOiJzcGluZS1wcm9kdWN0LWltYWdlcy1wcm9kIiwia2V5IjoiY2MyNGIxYzEtOTllZS00YTUyLTgwODUtYTkyMDgyZTZiOGExLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJoZWlnaHQiOjgwMH0sInRyaW0iOjAuMX19;;false
1208154;Endrizzi Piancastello Riserva Trento DOC;Serpaia di Endrizzi;Italien;https://www.flaschenpost.ch/endrizzi-piancastello-riserva-trento-doc_serpaia-di-endrizzi?_size=750&_vintage=2020;https://d2uqzpf6d2kb73.cloudfront.net/eyJidWNrZXQiOiJzcGluZS1wcm9kdWN0LWltYWdlcy1wcm9kIiwia2V5IjoiYmI5OWQ3YmQtNDg5NS00NTFmLWE1M2ItZGNiNTlkY2I1ODA5LnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJoZWlnaHQiOjgwMH0sInRyaW0iOjAuMX19;;false
1192898;Endrizzi Piancastello Rosé Riserva Trento DOC;Serpaia di Endrizzi;Italien;https://www.flaschenpost.ch/endrizzi-piancastello-rose-riserva-trento-doc_serpaia-di-endrizzi?_size=750&_vintage=2019;https://d2uqzpf6d2kb73.cloudfront.net/eyJidWNrZXQiOiJzcGluZS1wcm9kdWN0LWltYWdlcy1wcm9kIiwia2V5IjoiZTg4NzdjYTItMTVhOS00OGJkLTkxZTYtYTcyNzVmZTlkN2FlLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJoZWlnaHQiOjgwMH0sInRyaW0iOjAuMX19;;false
1211144;Gran Masetto Dolomiti IGT;Serpaia di Endrizzi;Italien;https://www.flaschenpost.ch/gran-masetto-dolomiti-igt_serpaia-di-endrizzi?_size=750&_vintage=2020;https://d2uqzpf6d2kb73.cloudfront.net/eyJidWNrZXQiOiJzcGluZS1wcm9kdWN0LWltYWdlcy1wcm9kIiwia2V5IjoiNzdhMzIyOTItMDVhMC00ZGNiLTlkYzctYjRiMTM0NGJmMmQ1LnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJoZWlnaHQiOjgwMH0sInRyaW0iOjAuMX19;;false
1179306;Gran Masetto Dolomiti IGT;Serpaia di Endrizzi;Italien;https://www.flaschenpost.ch/gran-masetto-dolomiti-igt_serpaia-di-endrizzi?_size=750&_vintage=2019;https://d2uqzpf6d2kb73.cloudfront.net/eyJidWNrZXQiOiJzcGluZS1wcm9kdWN0LWltYWdlcy1wcm9kIiwia2V5IjoiNzdhMzIyOTItMDVhMC00ZGNiLTlkYzctYjRiMTM0NGJmMmQ1LnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJoZWlnaHQiOjgwMH0sInRyaW0iOjAuMX19;;false
